School Year,SRC School ID,School Name,Learning Network,Grade Level,Student Enrollment,ELL Count,ELL Pct,Not ELL Count,Not ELL Pct,IEP Count,IEP Pct,Not IEP Count,Not IEP Pct,Female Count,Female Pct,Male Count,Male Pct,American Indian Count,American Indian Pct,Asian Count,Asian Pct,Black/African American Count,Black/African American Pct,Hispanic Count,Hispanic Pct,Multi-Race Count,Multi-Race Pct,Pacific Islander Count,Pacific Islander Pct,White Count,White Pct,CEP Economically Disadvantaged Rate
2018-2019,229,Franklin Learning Center,Network 3,All Grades,915,208,22.73,707,77.27,53,5.79,862,94.21,552,60.33,363,39.67,1,0.11,94,10.27,472,51.58,244,26.67,36,3.93,0,0.00,68,7.43,100.00
2018-2019,232,Stephen Girard School,Network 12,All Grades,437,72,16.48,365,83.52,34,7.78,403,92.22,226,51.72,211,48.28,0,0.00,87,19.91,258,59.04,35,8.01,31,7.09,0,0.00,26,5.95,100.00
2018-2019,234,General George A. McCall School,Network 3,All Grades,711,154,21.66,557,78.34,63,8.86,648,91.14,346,48.66,365,51.34,0,0.00,361,50.77,79,11.11,28,3.94,60,8.44,0,0.00,183,25.74,69.54
2018-2019,237,Delaplaine McDaniel School,Network 12,All Grades,377,7,1.86,370,98.14,61,16.18,316,83.82,173,45.89,204,54.11,0,0.00,10,2.65,332,88.06,11,2.92,21,5.57,0,0.00,3,0.80,100.00
2018-2019,238,William M. Meredith School,Network 3,All Grades,573,8,1.40,565,98.60,45,7.85,528,92.15,277,48.34,296,51.66,1,0.17,48,8.38,44,7.68,32,5.58,74,12.91,1,0.17,373,65.10,24.57
2018-2019,239,Robert Morris School,Network 3,All Grades,257,2,0.78,255,99.22,52,20.23,205,79.77,119,46.30,138,53.70,0,0.00,0,0.00,231,89.88,13,5.06,11,4.28,0,0.00,2,0.78,100.00
2018-2019,241,Girard Academic Music Program,Network 1,All Grades,620,4,0.65,616,99.35,32,5.16,588,94.84,366,59.03,254,40.97,2,0.32,120,19.35,152,24.52,35,5.65,56,9.03,0,0.00,255,41.13,52.65
2018-2019,245,Edwin M. Stanton School,Network 12,All Grades,305,3,0.98,302,99.02,50,16.39,255,83.61,138,45.25,167,54.75,0,0.00,5,1.64,235,77.05,22,7.21,25,8.20,1,0.33,17,5.57,100.00
2018-2019,247,Albert M. Greenfield School,Network 3,All Grades,665,24,3.61,641,96.39,59,8.87,606,91.13,317,47.67,348,52.33,0,0.00,58,8.72,120,18.05,39,5.86,72,10.83,0,0.00,376,56.54,25.02
2018-2019,248,Chester A. Arthur School,Network 12,All Grades,272,6,2.21,266,97.79,61,22.43,211,77.57,121,44.49,151,55.51,0,0.00,14,5.15,149,54.78,13,4.78,25,9.19,0,0.00,71,26.10,87.65
2018-2019,249,Laura W. Waring School,Network 3,All Grades,289,17,5.88,272,94.12,48,16.61,241,83.39,127,43.94,162,56.06,1,0.35,11,3.81,225,77.85,26,9.00,19,6.57,0,0.00,7,2.42,100.00
2018-2019,251,Andrew Jackson School,Network 10,All Grades,588,125,21.26,463,78.74,57,9.69,531,90.31,298,50.68,290,49.32,2,0.34,73,12.41,103,17.52,187,31.80,43,7.31,1,0.17,179,30.44,96.05
2018-2019,252,Abram S. Jenks School,Network 10,All Grades,280,58,20.71,222,79.29,35,12.50,245,87.50,147,52.50,133,47.50,0,0.00,93,33.21,12,4.29,28,10.00,20,7.14,0,0.00,127,45.36,100.00
2018-2019,258,Eliza B. Kirkbride School,Network 10,All Grades,553,254,45.93,299,54.07,70,12.66,483,87.34,278,50.27,275,49.73,0,0.00,167,30.20,40,7.23,282,50.99,22,3.98,0,0.00,42,7.59,100.00
2018-2019,259,George W. Nebinger School,Network 3,All Grades,468,79,16.88,389,83.12,79,16.88,389,83.12,208,44.44,260,55.56,0,0.00,41,8.76,180,38.46,100,21.37,38,8.12,3,0.64,106,22.65,98.12
2018-2019,262,Academy at Palumbo,Network 1,All Grades,1060,32,3.02,1028,96.98,33,3.11,1027,96.89,609,57.45,451,42.55,5,0.47,301,28.40,462,43.58,112,10.57,53,5.00,0,0.00,127,11.98,88.15
2018-2019,264,Southwark School,Network 10,All Grades,863,373,43.22,490,56.78,96,11.12,767,88.88,448,51.91,415,48.09,1,0.12,263,30.48,108,12.51,386,44.73,36,4.17,0,0.00,69,8.00,100.00
2018-2019,265,Science Leadership Academy,Innovation,All Grades,500,11,2.20,489,97.80,54,10.80,446,89.20,269,53.80,231,46.20,0,0.00,56,11.20,183,36.60,50,10.00,23,4.60,0,0.00,188,37.60,50.88
2018-2019,267,Constitution High School,Network 3,All Grades,385,17,4.42,368,95.58,42,10.91,343,89.09,221,57.40,164,42.60,0,0.00,26,6.75,271,70.39,54,14.03,16,4.16,0,0.00,18,4.68,94.75
2018-2019,272,Vare-Washington School,Network 3,All Grades,369,118,31.98,251,68.02,68,18.43,301,81.57,180,48.78,189,51.22,1,0.27,75,20.33,64,17.34,131,35.50,47,12.74,0,0.00,51,13.82,100.00
2018-2019,403,High School of Engineering and Science,Network 4,All Grades,932,12,1.29,920,98.71,25,2.68,907,97.32,444,47.64,488,52.36,1,0.11,99,10.62,636,68.24,86,9.23,52,5.58,0,0.00,58,6.22,68.15
2018-2019,414,Strawberry Mansion High School,Network 11,All Grades,169,0,0.00,169,100.00,59,34.91,110,65.09,81,47.93,88,52.07,2,1.18,0,0.00,154,91.12,6,3.55,4,2.37,0,0.00,3,1.78,100.00
2018-2019,422,James G. Blaine School,Network 11,All Grades,442,2,0.45,440,99.55,105,23.76,337,76.24,215,48.64,227,51.36,0,0.00,0,0.00,400,90.50,11,2.49,23,5.20,0,0.00,8,1.81,100.00
2018-2019,427,William Dick School,Network 11,All Grades,498,2,0.40,496,99.60,97,19.48,401,80.52,227,45.58,271,54.42,0,0.00,0,0.00,466,93.57,12,2.41,14,2.81,0,0.00,6,1.20,100.00
2018-2019,430,Edward Heston School,Acceleration,All Grades,488,0,0.00,488,100.00,48,9.84,440,90.16,221,45.29,267,54.71,0,0.00,1,0.20,459,94.06,10,2.05,16,3.28,0,0.00,2,0.41,100.00
2018-2019,447,Richard R. Wright School,Network 4,All Grades,348,2,0.57,346,99.43,94,27.01,254,72.99,163,46.84,185,53.16,2,0.57,0,0.00,316,90.80,16,4.60,10,2.87,0,0.00,4,1.15,100.00
2018-2019,453,Edward Gideon School,Network 11,All Grades,257,1,0.39,256,99.61,56,21.79,201,78.21,122,47.47,135,52.53,0,0.00,0,0.00,245,95.33,7,2.72,4,1.56,0,0.00,1,0.39,100.00
2018-2019,456,William D. Kelley School,Network 4,All Grades,367,0,0.00,367,100.00,65,17.71,302,82.29,180,49.05,187,50.95,0,0.00,2,0.54,342,93.19,8,2.18,11,3.00,0,0.00,4,1.09,100.00
2018-2019,457,General George G. Meade School,Network 3,All Grades,388,3,0.77,385,99.23,65,16.75,323,83.25,180,46.39,208,53.61,0,0.00,1,0.26,362,93.30,11,2.84,11,2.84,1,0.26,2,0.52,100.00
2018-2019,508,Parkway Center City Middle College High School,Network 1,All Grades,496,11,2.22,485,97.78,17,3.43,479,96.57,305,61.49,191,38.51,0,0.00,42,8.47,354,71.37,64,12.90,24,4.84,0,0.00,12,2.42,93.23
2018-2019,509,Parkway West High School,Network 13,All Grades,319,7,2.19,312,97.81,46,14.42,273,85.58,169,52.98,150,47.02,1,0.31,3,0.94,298,93.42,4,1.25,10,3.13,0,0.00,3,0.94,100.00
2018-2019,518,Vaux High School: A Big Picture,Innovation,All Grades,211,3,1.42,208,98.58,58,27.49,153,72.51,82,38.86,129,61.14,0,0.00,0,0.00,197,93.36,6,2.84,5,2.37,0,0.00,3,1.42,100.00
2018-2019,856,The Workshop School,Innovation,All Grades,256,9,3.52,247,96.48,54,21.09,202,78.91,86,33.59,170,66.41,1,0.39,8,3.13,219,85.55,6,2.34,16,6.25,1,0.39,5,1.95,100.00
2018-2019,878,Philadelphia Virtual Academy,Innovation,All Grades,551,10,1.81,541,98.19,55,9.98,496,90.02,327,59.35,224,40.65,3,0.54,9,1.63,360,65.34,77,13.97,25,4.54,0,0.00,77,13.97,.
