,Administrative_Area,geodata_coordinates
42,Czentral`ny'j administrativny'j okrug,"[37.6108, 55.7452]"
43,Czentral`ny'j administrativny'j okrug,"[37.581299999558, 55.736400000109]"
44,Czentral`ny'j administrativny'j okrug,"[37.575400000417, 55.733800000203]"
45,Czentral`ny'j administrativny'j okrug,"[37.577, 55.7307]"
46,Czentral`ny'j administrativny'j okrug,"[37.580700000406, 55.726399999881]"
47,Czentral`ny'j administrativny'j okrug,"[37.569199999904, 55.731099999885]"
48,Czentral`ny'j administrativny'j okrug,"[37.5652, 55.7238]"
49,Czentral`ny'j administrativny'j okrug,"[37.5596, 55.7269]"
50,Czentral`ny'j administrativny'j okrug,"[37.570400000004, 55.719300000173]"
51,Czentral`ny'j administrativny'j okrug,"[37.593099999635, 55.763499999887]"
52,Czentral`ny'j administrativny'j okrug,"[37.59979999974, 55.752600000078]"
53,Czentral`ny'j administrativny'j okrug,"[37.587544, 55.759184]"
54,Czentral`ny'j administrativny'j okrug,"[37.588773, 55.752805]"
55,Czentral`ny'j administrativny'j okrug,"[37.591900000434, 55.747499999948]"
56,Czentral`ny'j administrativny'j okrug,"[37.610641, 55.728396]"
57,Czentral`ny'j administrativny'j okrug,"[37.612529, 55.730775]"
58,Czentral`ny'j administrativny'j okrug,"[37.568113, 55.72731]"
59,Czentral`ny'j administrativny'j okrug,"[37.5682, 55.7368]"
60,Czentral`ny'j administrativny'j okrug,"[37.599700000181, 55.774200000088]"
61,Czentral`ny'j administrativny'j okrug,"[37.589999999828, 55.775099999815]"
62,Czentral`ny'j administrativny'j okrug,"[37.587900000103, 55.767700000102]"
63,Czentral`ny'j administrativny'j okrug,"[37.5635, 55.7624]"
64,Czentral`ny'j administrativny'j okrug,"[37.558999999959, 55.756800000097996]"
65,Czentral`ny'j administrativny'j okrug,"[37.551299999771, 55.755999999794]"
66,Czentral`ny'j administrativny'j okrug,"[37.565988, 55.759044]"
67,Yugo-Zapadny'j administrativny'j okrug,"[37.577300000125, 55.708300000246]"
68,Yugo-Zapadny'j administrativny'j okrug,"[37.564800000439, 55.706699999946]"
69,Zapadny'j administrativny'j okrug,"[37.5352, 55.6931]"
70,Yugo-Zapadny'j administrativny'j okrug,"[37.56240000024, 55.691499999843]"
71,Yugo-Zapadny'j administrativny'j okrug,"[37.562000000207, 55.678600000183]"
72,Yugo-Zapadny'j administrativny'j okrug,"[37.546599999832, 55.688199999918]"
73,Yugo-Zapadny'j administrativny'j okrug,"[37.550800000179, 55.690299999873]"
74,Yugo-Zapadny'j administrativny'j okrug,"[37.550800000179, 55.690299999873]"
75,Yugo-Zapadny'j administrativny'j okrug,"[37.560800000108, 55.697599999773]"
76,Yugo-Zapadny'j administrativny'j okrug,"[37.550099999672, 55.691299999874]"
77,Czentral`ny'j administrativny'j okrug,"[37.616499999774, 55.759099999856]"
78,Czentral`ny'j administrativny'j okrug,"[37.615800000165, 55.75979999978]"
79,Yugo-Zapadny'j administrativny'j okrug,"[37.5552, 55.7064]"
80,Zapadny'j administrativny'j okrug,"[37.528400000123, 55.698399999764]"
81,Zapadny'j administrativny'j okrug,"[37.522599999643, 55.70169999984]"
82,Zapadny'j administrativny'j okrug,"[37.5355, 55.7062]"
84,Czentral`ny'j administrativny'j okrug,"[37.645868, 55.73664]"
85,Czentral`ny'j administrativny'j okrug,"[37.586700000004, 55.777500000213]"
86,Czentral`ny'j administrativny'j okrug,"[37.582200000081, 55.770200000211]"
87,Czentral`ny'j administrativny'j okrug,"[37.5727, 55.7403]"
88,Czentral`ny'j administrativny'j okrug,"[37.576700000075, 55.740200000001]"
89,Czentral`ny'j administrativny'j okrug,"[37.605400000203, 55.723999999807]"
90,Yuzhny'j administrativny'j okrug,"[37.587700000087, 55.712000000162]"
91,Czentral`ny'j administrativny'j okrug,"[37.654900000255, 55.750600000147]"
92,Yuzhny'j administrativny'j okrug,"[37.604699999696, 55.639800000065]"
93,Yuzhny'j administrativny'j okrug,"[37.594645, 55.636531]"
94,Yugo-Zapadny'j administrativny'j okrug,"[37.542499999942, 55.63759999993]"
95,Yugo-Zapadny'j administrativny'j okrug,"[37.526599999974, 55.64189999991]"
96,Yugo-Zapadny'j administrativny'j okrug,"[37.541000000267, 55.642300000152]"
97,Zapadny'j administrativny'j okrug,"[37.514199999847, 55.70519999992]"
98,Yugo-Zapadny'j administrativny'j okrug,"[37.556100000168, 55.69490000024]"
99,Czentral`ny'j administrativny'j okrug,"[37.621565, 55.767876]"
100,Zapadny'j administrativny'j okrug,"[37.5284, 55.7031]"
101,Czentral`ny'j administrativny'j okrug,"[37.636099999598, 55.757700000224]"
102,Czentral`ny'j administrativny'j okrug,"[37.628200000292, 55.737800000101]"
103,Czentral`ny'j administrativny'j okrug,"[37.631720000224, 55.781494999984]"
104,Czentral`ny'j administrativny'j okrug,"[37.565551999926, 55.769445000052]"
105,Yugo-Zapadny'j administrativny'j okrug,"[37.58272099959, 55.671656000042]"
106,Yugo-Zapadny'j administrativny'j okrug,"[37.532632000258, 55.678715000098]"
107,Zapadny'j administrativny'j okrug,"[37.507554999994, 55.703025999922]"
108,Yuzhny'j administrativny'j okrug,"[37.608648, 55.718027]"
109,Yuzhny'j administrativny'j okrug,"[37.600371, 55.72112]"
110,Yugo-Zapadny'j administrativny'j okrug,"[37.519887000349, 55.683723999992]"
111,Yugo-Zapadny'j administrativny'j okrug,"[37.500151000082, 55.653506000145]"
112,Yugo-Zapadny'j administrativny'j okrug,"[37.537339999695, 55.664619999825]"
113,Yugo-Zapadny'j administrativny'j okrug,"[37.55730699994, 55.673362000114]"
114,Yugo-Zapadny'j administrativny'j okrug,"[37.570182000444, 55.68434700004]"
115,Czentral`ny'j administrativny'j okrug,"[37.62121, 55.77314]"
116,Yugo-Zapadny'j administrativny'j okrug,"[37.552942999561, 55.669040000199]"
117,Yugo-Zapadny'j administrativny'j okrug,"[37.525619999983, 55.642009999927]"
118,Czentral`ny'j administrativny'j okrug,"[37.635080000322, 55.786889999793]"
119,Yugo-Zapadny'j administrativny'j okrug,"[37.530600000305, 55.68977000006]"
120,Zapadny'j administrativny'j okrug,"[37.50457999986, 55.676539999985]"
121,Yugo-Zapadny'j administrativny'j okrug,"[37.529599000398, 55.678088000093]"
122,Yuzhny'j administrativny'j okrug,"[37.593068, 55.715984]"
123,Yugo-Zapadny'j administrativny'j okrug,"[37.520416000253, 55.63375999983]"
124,Yugo-Zapadny'j administrativny'j okrug,"[37.540620000325, 55.683959999946]"
125,Czentral`ny'j administrativny'j okrug,"[37.628651, 55.741485]"
126,Czentral`ny'j administrativny'j okrug,"[37.629087000397, 55.788602000195]"
127,Czentral`ny'j administrativny'j okrug,"[37.622490000224, 55.786078999815]"
128,Czentral`ny'j administrativny'j okrug,"[37.552939000262, 55.764235999754]"
129,Czentral`ny'j administrativny'j okrug,"[37.545640999757, 55.757489999963]"
130,Zapadny'j administrativny'j okrug,"[37.507288999855, 55.710412999973]"
131,Czentral`ny'j administrativny'j okrug,"[37.653802, 55.742338]"
132,Yugo-Zapadny'j administrativny'j okrug,"[37.552044999586, 55.684711999869]"
133,Czentral`ny'j administrativny'j okrug,"[37.611362, 55.770122]"
134,Czentral`ny'j administrativny'j okrug,"[37.654589999735, 55.772518000187]"
135,Czentral`ny'j administrativny'j okrug,"[37.633318999633, 55.779944999992]"
136,Czentral`ny'j administrativny'j okrug,"[37.622634000164, 55.779102000128]"
137,Czentral`ny'j administrativny'j okrug,"[37.6137389999, 55.781409999814]"
138,Czentral`ny'j administrativny'j okrug,"[37.616503999972, 55.785258999914]"
139,Czentral`ny'j administrativny'j okrug,"[37.572071000281, 55.765613000189]"
140,Yugo-Zapadny'j administrativny'j okrug,"[37.552977999721, 55.651252000083]"
141,Yugo-Zapadny'j administrativny'j okrug,"[37.564201000214, 55.650210999806]"
142,Yugo-Zapadny'j administrativny'j okrug,"[37.519915999763, 55.634468000126]"
143,Yugo-Zapadny'j administrativny'j okrug,"[37.539688000015, 55.656261000194]"
144,Yugo-Zapadny'j administrativny'j okrug,"[37.559341000441, 55.660895999767]"
145,Czentral`ny'j administrativny'j okrug,"[37.616046000212, 55.792575000235]"
146,Czentral`ny'j administrativny'j okrug,"[37.590903999651, 55.791373999935]"
147,Yugo-Zapadny'j administrativny'j okrug,"[37.589305000242, 55.691394000164]"
148,Czentral`ny'j administrativny'j okrug,"[37.646671000163, 55.771964999877]"
149,Czentral`ny'j administrativny'j okrug,"[37.627651000296, 55.735362999991]"
150,Yugo-Zapadny'j administrativny'j okrug,"[37.572990000173, 55.703249999751]"
151,Yugo-Zapadny'j administrativny'j okrug,"[37.4951320003, 55.643985000103]"
152,Yuzhny'j administrativny'j okrug,"[37.60899299993, 55.671797999806]"
153,Severo-Vostochny'j administrativny'j okrug,"[37.623599999912, 55.821685000147]"
154,Severo-Vostochny'j administrativny'j okrug,"[37.610487999582, 55.821743000176]"
155,Severo-Vostochny'j administrativny'j okrug,"[37.630187000039, 55.815486000209]"
156,Severo-Vostochny'j administrativny'j okrug,"[37.6171559999, 55.793457000157]"
157,Severo-Vostochny'j administrativny'j okrug,"[37.637438999615, 55.833338000028]"
158,Severo-Vostochny'j administrativny'j okrug,"[37.65423099971, 55.834407999994]"
159,Severo-Vostochny'j administrativny'j okrug,"[37.638457000139, 55.819404000155004]"
160,Severo-Vostochny'j administrativny'j okrug,"[37.601039, 55.830195]"
161,Severo-Vostochny'j administrativny'j okrug,"[37.580687999812, 55.820725000107]"
162,Severo-Vostochny'j administrativny'j okrug,"[37.580408000328, 55.82789700014]"
163,Severo-Vostochny'j administrativny'j okrug,"[37.615739, 55.818916]"
164,Severo-Vostochny'j administrativny'j okrug,"[37.594596999835, 55.813304000079]"
165,Czentral`ny'j administrativny'j okrug,"[37.608917999587, 55.778384999886]"
166,Yugo-Zapadny'j administrativny'j okrug,"[37.596253000044, 55.652451000061]"
167,Yuzhny'j administrativny'j okrug,"[37.594389000321, 55.709908000171]"
168,Yugo-Zapadny'j administrativny'j okrug,"[37.608093000305, 55.65919100023]"
169,Severo-Vostochny'j administrativny'j okrug,"[37.639128, 55.825361]"
170,Czentral`ny'j administrativny'j okrug,"[37.641452, 55.743213]"
171,Severo-Vostochny'j administrativny'j okrug,"[37.636550999685, 55.837144000214]"
172,Severo-Vostochny'j administrativny'j okrug,"[37.636616999807, 55.808564999785]"
173,Czentral`ny'j administrativny'j okrug,"[37.626463999718, 55.745813999789]"
174,Czentral`ny'j administrativny'j okrug,"[37.633322, 55.739852]"
175,Czentral`ny'j administrativny'j okrug,"[37.635112999934, 55.737551999823]"
176,Yuzhny'j administrativny'j okrug,"[37.61926599967, 55.645199000221]"
177,Zapadny'j administrativny'j okrug,"[37.495248999578, 55.655932000097]"
178,Czentral`ny'j administrativny'j okrug,"[37.633093, 55.76169]"
179,Yugo-Zapadny'j administrativny'j okrug,"[37.518874999672, 55.652432000155]"
180,Yugo-Zapadny'j administrativny'j okrug,"[37.571113000031, 55.674872999973]"
181,Yugo-Zapadny'j administrativny'j okrug,"[37.606796000121, 55.663717000135]"
182,Yugo-Zapadny'j administrativny'j okrug,"[37.582776999666, 55.684571000067]"
183,Yugo-Zapadny'j administrativny'j okrug,"[37.595484999765, 55.679561999759]"
184,Yugo-Zapadny'j administrativny'j okrug,"[37.582170999769, 55.645487999981]"
185,Yugo-Zapadny'j administrativny'j okrug,"[37.512928999603, 55.648342999993]"
186,Czentral`ny'j administrativny'j okrug,"[37.650336999684, 55.776218000008]"
187,Severo-Vostochny'j administrativny'j okrug,"[37.615390000086, 55.802912999931]"
188,Yugo-Zapadny'j administrativny'j okrug,"[37.514881000088, 55.658798000043]"
189,Yugo-Zapadny'j administrativny'j okrug,"[37.594160999817, 55.659076000184]"
190,Yugo-Zapadny'j administrativny'j okrug,"[37.580711000277, 55.653507000112]"
191,Yugo-Zapadny'j administrativny'j okrug,"[37.526492999844, 55.667075999911]"
192,Yugo-Zapadny'j administrativny'j okrug,"[37.571292000131, 55.665068999769]"
193,Yugo-Zapadny'j administrativny'j okrug,"[37.534259000154, 55.668342000015]"
194,Yugo-Zapadny'j administrativny'j okrug,"[37.604529999817, 55.641756999881]"
195,Yugo-Zapadny'j administrativny'j okrug,"[37.577945000381, 55.701175]"
196,Czentral`ny'j administrativny'j okrug,"[37.539165, 55.747509]"
197,Czentral`ny'j administrativny'j okrug,"[37.540904000007004, 55.751911000132]"
198,Zapadny'j administrativny'j okrug,"[37.51711600043, 55.716167000022]"
199,Severo-Vostochny'j administrativny'j okrug,"[37.602809000209, 55.792434000207]"
200,Czentral`ny'j administrativny'j okrug,"[37.645380999652, 55.748228999938]"
201,Zapadny'j administrativny'j okrug,"[37.513749, 55.717872]"
202,Yugo-Zapadny'j administrativny'j okrug,"[37.539333000187, 55.656261000194]"
203,Yugo-Zapadny'j administrativny'j okrug,"[37.562853999802, 55.677410000056]"
204,Czentral`ny'j administrativny'j okrug,"[37.632132999778, 55.776030999933]"
205,Severo-Vostochny'j administrativny'j okrug,"[37.617248000000004, 55.824314]"
206,Zapadny'j administrativny'j okrug,"[37.557608000239, 55.746254000018]"
207,Czentral`ny'j administrativny'j okrug,"[37.607855999579996, 55.780651000056]"
208,Severo-Vostochny'j administrativny'j okrug,"[37.588374999581, 55.812376999906]"
209,Yuzhny'j administrativny'j okrug,"[37.618324000212, 55.65310199989]"
210,Yuzhny'j administrativny'j okrug,"[37.605651000273, 55.653751000122]"
211,Severo-Vostochny'j administrativny'j okrug,"[37.604133000157, 55.821704000097]"
212,Severo-Vostochny'j administrativny'j okrug,"[37.634062999623, 55.823440000198]"
213,Severo-Vostochny'j administrativny'j okrug,"[37.647220000159, 55.82752599987]"
214,Czentral`ny'j administrativny'j okrug,"[37.586428999843, 55.734264000138]"
215,Czentral`ny'j administrativny'j okrug,"[37.596429999596, 55.784342000227]"
216,Yugo-Zapadny'j administrativny'j okrug,"[37.537873999622, 55.675732000156]"
217,Severo-Vostochny'j administrativny'j okrug,"[37.589905, 55.846023]"
218,Severo-Vostochny'j administrativny'j okrug,"[37.637010000168, 55.843133000101]"
219,Severny'j administrativny'j okrug,"[37.574114000104, 55.819238000112]"
220,Czentral`ny'j administrativny'j okrug,"[37.605051, 55.731962]"
221,Czentral`ny'j administrativny'j okrug,"[37.604770000016, 55.75674400006]"
222,Zapadny'j administrativny'j okrug,"[37.56924, 55.742321]"
223,Czentral`ny'j administrativny'j okrug,"[37.617189, 55.763147000000004]"
224,Czentral`ny'j administrativny'j okrug,"[37.659303999918, 55.776629000103]"
225,Zapadny'j administrativny'j okrug,"[37.529503999963, 55.723347999778]"
226,Czentral`ny'j administrativny'j okrug,"[37.6086772, 55.7574181]"
227,Czentral`ny'j administrativny'j okrug,"[37.631551999995, 55.766647000195]"
228,Czentral`ny'j administrativny'j okrug,"[37.639234, 55.764698]"
229,Czentral`ny'j administrativny'j okrug,"[37.614937, 55.744221]"
230,Czentral`ny'j administrativny'j okrug,"[37.616862, 55.73965]"
231,Czentral`ny'j administrativny'j okrug,"[37.608607399891, 55.773533199839]"
232,Czentral`ny'j administrativny'j okrug,"[37.637083999787, 55.729959999884]"
233,Czentral`ny'j administrativny'j okrug,"[37.573079299899, 55.772473599811]"
234,Zapadny'j administrativny'j okrug,"[37.562222699753, 55.749029800212]"
235,Czentral`ny'j administrativny'j okrug,"[37.592440000209, 55.732079999934]"
236,Czentral`ny'j administrativny'j okrug,"[37.552930000041, 55.75851000017]"
237,Czentral`ny'j administrativny'j okrug,"[37.55135, 55.761199999841]"
238,Czentral`ny'j administrativny'j okrug,"[37.625041000036, 55.72681500006]"
239,Czentral`ny'j administrativny'j okrug,"[37.619735399949, 55.727352699783]"
240,Czentral`ny'j administrativny'j okrug,"[37.621820999679, 55.72089399996]"
241,Czentral`ny'j administrativny'j okrug,"[37.62237219965, 55.724197800225]"
242,Czentral`ny'j administrativny'j okrug,"[37.617825899658, 55.720475600052]"
243,Czentral`ny'j administrativny'j okrug,"[37.637514999783, 55.726421000052]"
244,Yuzhny'j administrativny'j okrug,"[37.627859999635, 55.721130000202]"
245,Yuzhny'j administrativny'j okrug,"[37.607580000294, 55.715729999786]"
246,Yuzhny'j administrativny'j okrug,"[37.62189, 55.71197]"
247,Yuzhny'j administrativny'j okrug,"[37.621890000175, 55.711969999897]"
248,Yuzhny'j administrativny'j okrug,"[37.600749999594, 55.710700000071]"
249,Zapadny'j administrativny'j okrug,"[37.499138100192, 55.70635100003]"
250,Yuzhny'j administrativny'j okrug,"[37.620409999693, 55.696840000133]"
251,Yuzhny'j administrativny'j okrug,"[37.622749999617, 55.683969999947]"
252,Zapadny'j administrativny'j okrug,"[37.513839999997, 55.673410000032]"
253,Yugo-Zapadny'j administrativny'j okrug,"[37.545039999882, 55.673399999864]"
254,Yugo-Zapadny'j administrativny'j okrug,"[37.549200000047, 55.664659999832]"
255,Yugo-Zapadny'j administrativny'j okrug,"[37.594689999722, 55.667339999858]"
256,Yuzhny'j administrativny'j okrug,"[37.619950000284, 55.663880000183]"
257,Czentral`ny'j administrativny'j okrug,"[37.612188300209, 55.727740800101]"
258,Yugo-Zapadny'j administrativny'j okrug,"[37.574594599679, 55.678372999868]"
259,Yugo-Zapadny'j administrativny'j okrug,"[37.58531, 55.70674]"
260,Czentral`ny'j administrativny'j okrug,"[37.595999199925, 55.776466000081]"
261,Czentral`ny'j administrativny'j okrug,"[37.600261800272, 55.779872099762]"
262,Czentral`ny'j administrativny'j okrug,"[37.60095, 55.77946]"
263,Czentral`ny'j administrativny'j okrug,"[37.618293099963, 55.776646000116]"
264,Czentral`ny'j administrativny'j okrug,"[37.601520000421, 55.782410000084]"
265,Severny'j administrativny'j okrug,"[37.577969999597, 55.780449999941]"
266,Severny'j administrativny'j okrug,"[37.584099999789, 55.791850000201]"
267,Czentral`ny'j administrativny'j okrug,"[37.633239999991, 55.79040000005]"
268,Czentral`ny'j administrativny'j okrug,"[37.635068, 55.792514]"
269,Severo-Vostochny'j administrativny'j okrug,"[37.636230000193, 55.801865000148]"
270,Severo-Vostochny'j administrativny'j okrug,"[37.637973, 55.807871]"
271,Czentral`ny'j administrativny'j okrug,"[37.666382000315, 55.779756000069]"
272,Czentral`ny'j administrativny'j okrug,"[37.67914800014, 55.772243000202]"
273,Czentral`ny'j administrativny'j okrug,"[37.664073000353, 55.767163999768]"
274,Czentral`ny'j administrativny'j okrug,"[37.652095300038, 55.772495599913]"
275,Severo-Vostochny'j administrativny'j okrug,"[37.641449300029, 55.822430299892]"
276,Vostochny'j administrativny'j okrug,"[37.663778999727, 55.788827100249]"
277,Vostochny'j administrativny'j okrug,"[37.660047000083, 55.792516000214]"
278,Vostochny'j administrativny'j okrug,"[37.666960500087, 55.791607299912]"
279,Vostochny'j administrativny'j okrug,"[37.678326000333, 55.791873999903]"
280,Vostochny'j administrativny'j okrug,"[37.676497999696, 55.786247000086]"
281,Vostochny'j administrativny'j okrug,"[37.679765999733, 55.789100999849]"
282,Vostochny'j administrativny'j okrug,"[37.685917899954, 55.791421499922]"
283,Vostochny'j administrativny'j okrug,"[37.694152999607, 55.79424799994]"
284,Vostochny'j administrativny'j okrug,"[37.699875000269, 55.794427000252]"
285,Severo-Vostochny'j administrativny'j okrug,"[37.64784, 55.82637]"
286,Severny'j administrativny'j okrug,"[37.516860000337, 55.777450000092]"
287,Severny'j administrativny'j okrug,"[37.520360000177, 55.802729999987]"
288,Severny'j administrativny'j okrug,"[37.542160000183, 55.795380000011]"
289,Severny'j administrativny'j okrug,"[37.560909999713, 55.786540000104]"
290,Severny'j administrativny'j okrug,"[37.547369999761, 55.79428999998]"
291,Severny'j administrativny'j okrug,"[37.539780000076, 55.797590000102]"
292,Severny'j administrativny'j okrug,"[37.537729999682, 55.806690000114]"
293,Severny'j administrativny'j okrug,"[37.534530000316, 55.803639999854]"
294,Severny'j administrativny'j okrug,"[37.54916999991, 55.800339999932]"
295,Severny'j administrativny'j okrug,"[37.553659999787, 55.794350000247]"
296,Severny'j administrativny'j okrug,"[37.565510000093, 55.793059999893]"
297,Czentral`ny'j administrativny'j okrug,"[37.614129, 55.758424]"
298,Czentral`ny'j administrativny'j okrug,"[37.601432, 55.753112]"
299,Czentral`ny'j administrativny'j okrug,"[37.582994, 55.748124]"
300,Czentral`ny'j administrativny'j okrug,"[37.583694, 55.756811]"
301,Czentral`ny'j administrativny'j okrug,"[37.58537, 55.758366]"
302,Czentral`ny'j administrativny'j okrug,"[37.584835, 55.759828]"
303,Czentral`ny'j administrativny'j okrug,"[37.590953, 55.765848]"
304,Czentral`ny'j administrativny'j okrug,"[37.590615, 55.766162]"
305,Czentral`ny'j administrativny'j okrug,"[37.594435, 55.768116]"
306,Czentral`ny'j administrativny'j okrug,"[37.599953, 55.770887]"
307,Czentral`ny'j administrativny'j okrug,"[37.603636, 55.772012]"
308,Zapadny'j administrativny'j okrug,"[37.537008, 55.73925]"
309,Zapadny'j administrativny'j okrug,"[37.517572, 55.735193]"
310,Zapadny'j administrativny'j okrug,"[37.496069, 55.694686]"
311,Zapadny'j administrativny'j okrug,"[37.491269, 55.682977]"
312,Zapadny'j administrativny'j okrug,"[37.515503, 55.682363]"
313,Zapadny'j administrativny'j okrug,"[37.489016, 55.672486]"
314,Zapadny'j administrativny'j okrug,"[37.496316, 55.671419]"
315,Zapadny'j administrativny'j okrug,"[37.481469, 55.660955]"
316,Yugo-Zapadny'j administrativny'j okrug,"[37.597366, 55.646486]"
317,Yugo-Zapadny'j administrativny'j okrug,"[37.554445, 55.669411]"
318,Severny'j administrativny'j okrug,"[37.578596, 55.788096]"
319,Severny'j administrativny'j okrug,"[37.582977, 55.789259]"
320,Czentral`ny'j administrativny'j okrug,"[37.640458, 55.786316]"
321,Severo-Vostochny'j administrativny'j okrug,"[37.638466, 55.81355]"
322,Severo-Vostochny'j administrativny'j okrug,"[37.660913, 55.813904]"
323,Severo-Vostochny'j administrativny'j okrug,"[37.646595, 55.816654]"
324,Czentral`ny'j administrativny'j okrug,"[37.672713, 55.774758]"
325,Severny'j administrativny'j okrug,"[37.576512, 55.78347]"
326,Severo-Vostochny'j administrativny'j okrug,"[37.640633, 55.819394]"
327,Severo-Vostochny'j administrativny'j okrug,"[37.662644, 55.821435]"
328,Vostochny'j administrativny'j okrug,"[37.706739, 55.805556]"
329,Vostochny'j administrativny'j okrug,"[37.711696, 55.801388]"
330,Vostochny'j administrativny'j okrug,"[37.71573, 55.790414]"
331,Czentral`ny'j administrativny'j okrug,"[37.692643, 55.779863]"
332,Severo-Vostochny'j administrativny'j okrug,"[37.64405, 55.822614]"
333,Severny'j administrativny'j okrug,"[37.514483, 55.783851]"
334,Severny'j administrativny'j okrug,"[37.51271, 55.792345]"
335,Severny'j administrativny'j okrug,"[37.526685, 55.79144]"
336,Severny'j administrativny'j okrug,"[37.537724, 55.786716]"
337,Severny'j administrativny'j okrug,"[37.531239, 55.782237]"
338,Severny'j administrativny'j okrug,"[37.51965, 55.786605]"
339,Severny'j administrativny'j okrug,"[37.513538, 55.797824]"
340,Severny'j administrativny'j okrug,"[37.515275, 55.804399]"
341,Severny'j administrativny'j okrug,"[37.530375, 55.80053]"
342,Severny'j administrativny'j okrug,"[37.559531, 55.788844]"
343,Severny'j administrativny'j okrug,"[37.531548, 55.801277]"
344,Severny'j administrativny'j okrug,"[37.522051, 55.803656]"
345,Severny'j administrativny'j okrug,"[37.525496, 55.811398]"
346,Severo-Vostochny'j administrativny'j okrug,"[37.602765, 55.798181]"
347,Severo-Vostochny'j administrativny'j okrug,"[37.602749, 55.81818]"
348,Severo-Vostochny'j administrativny'j okrug,"[37.647503, 55.827796]"
349,Severo-Vostochny'j administrativny'j okrug,"[37.648111, 55.826356]"
350,Czentral`ny'j administrativny'j okrug,"[37.6020183, 55.7449006]"
351,Czentral`ny'j administrativny'j okrug,"[37.634688, 55.754015]"
352,Czentral`ny'j administrativny'j okrug,"[37.6358074, 55.7310887]"
353,Czentral`ny'j administrativny'j okrug,"[37.629933, 55.730521]"
354,Czentral`ny'j administrativny'j okrug,"[37.58714, 55.78427]"
355,Czentral`ny'j administrativny'j okrug,"[37.5937289, 55.7351049]"
356,Czentral`ny'j administrativny'j okrug,"[37.5861519, 55.7383154]"
357,Czentral`ny'j administrativny'j okrug,"[37.5852946, 55.7414275]"
358,Czentral`ny'j administrativny'j okrug,"[37.614186, 55.773194]"
359,Czentral`ny'j administrativny'j okrug,"[37.632814, 55.772192]"
360,Czentral`ny'j administrativny'j okrug,"[37.6429131, 55.7703931]"
